1.000000000000000021e-03 1.517697187713691617e-05
1.610262027560939316e-03 1.517877296934255107e-05
2.592943797404666934e-03 1.518345695671648284e-05
4.175318936560400325e-03 1.519569526642096312e-05
6.723357536499334659e-03 1.522805085731460654e-05
1.082636733874054596e-02 1.531608334647031010e-05
1.743328822199988193e-02 1.738942292308906566e-05
2.807216203941177018e-02 2.069572099184256096e-05
4.520353656360243111e-02 2.613809812640001032e-05
7.278953843983150540e-02 3.628589796428883905e-05
1.172102297533480497e-01 5.464708783188638379e-05
1.887391822135097708e-01 8.351882650514883531e-05
3.039195382313197857e-01 1.265535757260258330e-04
4.893900918477493978e-01 2.083371166097211275e-04
7.880462815669911913e-01 3.282307597323813283e-04
1.268961003167922152e+00 5.362164638675385141e-04
2.043359717856941593e+00 8.630943398756318842e-04
3.290344562312667698e+00 1.367887908947935938e-03
5.298316906283707439e+00 2.242345924922050163e-03
8.531678524172805922e+00 3.606433841674200422e-03
1.373823795883263799e+01 5.710241356296972409e-03
2.212216291070450325e+01 9.217816059689668343e-03
3.562247890262444372e+01 1.474600280280440392e-02
5.736152510448681596e+01 2.396929613753405117e-02
9.236708571873865026e+01 3.846753722290557898e-02
1.487352107293511665e+02 6.202955665381693767e-02
2.395026619987486072e+02 9.991166943166800152e-02
3.856620421163472088e+02 1.614556323634545876e-01
6.210169418915616006e+02 2.596773284192646636e-01
1.000000000000000000e+03 4.177648326972228099e-01
